角色编号,76
姓名,樱花桂冠
默认称呼,樱花桂冠
基础属性,体力,1000
基础属性,精力,1000
基础属性,速度,1200
基础属性,耐力,1200
基础属性,力量,1200
基础属性,根性,1200
基础属性,智力,1200
角色Flag,性别,0
角色Flag,罩杯尺寸,3
角色Flag,阴茎尺寸,0
角色Flag,身高,162
角色Flag,胸围,78
角色Flag,腰围,54
角色Flag,臀围,80
角色Flag,肤色深度,0
角色Flag,初始速度,101
角色Flag,初始耐力,123
角色Flag,初始力量,106
角色Flag,初始根性,120
角色Flag,初始智力,100
角色Flag,速度加成,0
角色Flag,耐力加成,20
角色Flag,力量加成,10
角色Flag,根性加成,0
角色Flag,智力加成,0
角色Flag,草地适性,6
角色Flag,泥地适性,2
角色Flag,短距离适性,0
角色Flag,英里赛适性,4
角色Flag,中距离适性,6
角色Flag,长距离适性,6
角色Flag,逃马适性,0
角色Flag,先马适性,5
角色Flag,差马适性,6
角色Flag,追马适性,5
角色Flag,气性,0
角色Flag,成长阶段,2
角色Flag,父方角色,-1
角色Flag,母方角色,-1
角色Flag,出生月份,5
角色Flag,出生日期,8
角色Flag,流星大小,-3
角色字符串,毛色,枥栗
角色字符串,流星形状,未知
