角色编号,98
姓名,小林历奇
默认称呼,小林历奇
基础属性,体力,1000
基础属性,精力,1000
基础属性,速度,1200
基础属性,耐力,1200
基础属性,力量,1200
基础属性,根性,1200
基础属性,智力,1200
角色Flag,性别,0
角色Flag,罩杯尺寸,4
角色Flag,阴茎尺寸,0
角色Flag,身高,165
角色Flag,胸围,83
角色Flag,腰围,55
角色Flag,臀围,87
角色Flag,肤色深度,0
角色Flag,初始速度,114
角色Flag,初始耐力,107
角色Flag,初始力量,113
角色Flag,初始根性,106
角色Flag,初始智力,110
角色Flag,速度加成,0
角色Flag,耐力加成,0
角色Flag,力量加成,10
角色Flag,根性加成,0
角色Flag,智力加成,20
角色Flag,草地适性,1
角色Flag,泥地适性,6
角色Flag,短距离适性,4
角色Flag,英里赛适性,6
角色Flag,中距离适性,6
角色Flag,长距离适性,0
角色Flag,逃马适性,6
角色Flag,先马适性,6
角色Flag,差马适性,4
角色Flag,追马适性,0
角色Flag,气性,0
角色Flag,成长阶段,2
角色Flag,父方角色,-1
角色Flag,母方角色,-1
角色Flag,出生月份,3
角色Flag,出生日期,24
角色Flag,流星大小,-3
角色字符串,毛色,栗
角色字符串,流星形状,未知
